Year,Hebei_Province,Shanxi_Province,Liaoning_Province
1999.00,6614.00,3204.00,4171.00
2000.00,6674.00,3247.00,4184.00
2001.00,6668.44,3247.12,4182.44
2002.00,6735.00,3294.00,4203.00
2003.00,6769.00,3314.00,4210.00
2004.00,6809.00,3335.00,4217.00
2005.00,6844.00,3352.00,4220.00
2006.00,6898.00,3375.00,4271.00
2007.00,6943.00,3393.00,4298.00
2008.00,6989.00,3411.00,4315.00
2009.00,7034.00,3427.00,4319.00
2010.00,7494.00,3574.00,4375.00
2011.00,7241.00,3593.00,4383.00
2012.00,7288.00,3611.00,4389.00
2013.00,7333.00,3630.00,4390.00
2014.00,7384.00,3648.00,4391.00
2015.00,7424.92,3664.12,4382.40
2016.00,7470.00,3682.00,4378.00
2017.00,7519.52,3702.00,4369.00
